Producto,Proveedor,Categoria,Unidades Vendidas,Total,Fecha de Venta,Cliente,Departamento,Municipio,Orden
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,478,5814,10/25/2020,Eduardo Morales,Solola,San Lucas Toliman,0-639-83610-0
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,171,6344,2/22/2020,Ismael Silva,Guatemala,Santa Catarina Pinula,1-4890-4593-7
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,784,1996,7/4/2020,Vicente Rodriguez,Chiquimula,Esquipulas,1-00-780166-2
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,735,5233,8/23/2020,Ignacio Rodriguez,Totonicapan,San Andres Xecul,0-00-113645-3
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,860,1959,3/23/2020,Diana Torres,Suchitepequez,San Bernardino,1-04-720843-1
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,475,7336,6/12/2020,Ignacio Chavez,Escuintla,Santa Lucia Cotzumalguapa,1-5232-6481-0
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,395,7608,3/7/2020,Enrique Jimenez,Izabal,Livingston,1-993705-18-X
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,451,4285,7/4/2020,Felipe Torres,Izabal,Los Amates,1-4377-7048-7
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,476,2747,9/18/2020,Natalia Aguilar,Retalhuleu,San Felipe,1-72787-217-7
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,322,7032,10/12/2020,Enrique Jimenez,Solola,San Juan La Laguna,1-212-36676-X
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,735,7521,4/4/2020,Julio Medina,Chimaltenango,Patzun,0-9650253-6-5
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,439,5056,6/3/2020,Luis Martinez,Retalhuleu,San Felipe,1-941559-37-9
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,104,6379,11/19/2020,Samuel Morales,Guatemala,Villa Nueva,0-86632-075-X
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,138,3532,12/28/2020,Yolanda Vargas,Baja Verapaz,Purulha,1-55015-474-5
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,653,6953,7/19/2020,Ignacio Gomez,Solola,Solola,1-890468-11-8
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,909,2547,9/1/2020,Manuel Alvarez,Santa Rosa,Oratorio,0-08-829644-X
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,772,877,3/8/2020,Martin Salazar,Jutiapa,Jutiapa,0-569-60682-9
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,440,5599,3/9/2020,Arturo Morales,Quiche,Santa Cruz del Quiche,0-661-53893-1
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,472,7834,2/13/2020,angela Mendoza,Guatemala,San Miguel Petapa,1-918553-17-3
Limonada con Hierbabuena FreshMint,FreshBeverage Co.,Bebidas,888,2814,8/4/2020,Gustavo Garcia,Escuintla,Tiquisate,1-171-51157-4
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,695,7575,1/24/2020,Yolanda Flores,Santa Rosa,Oratorio,1-9770-3071-8
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,975,6862,9/27/2020,Carolina Pacheco,Chiquimula,Chiquimula,0-296-69948-9
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,312,3422,10/4/2020,Gabriel Fernandez,Santa Rosa,Barberena,0-630-91092-8
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,739,2687,2/9/2020,Miguel Vega,Quiche,Uspantan,1-148-59551-1
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,964,938,10/2/2020,Adrian Morales,El Progreso,San Antonio La Paz,1-64863-142-8
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,456,4089,3/5/2020,Gustavo Gomez,Guatemala,Santa Catarina Pinula,1-253-61240-4
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,689,5937,1/21/2020,Marcelo Gomez,Sacatepequez,Jocotenango,0-11-321145-7
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,915,652,2/7/2020,Teresa Ramirez,Totonicapan,San Cristobal Totonicapan,0-256-37662-X
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,727,2484,9/9/2020,Laura Vega,Chiquimula,Concepcion Las Minas,0-13-219762-6
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,333,1613,7/8/2020,Marcela Salazar,Sacatepequez,Sumpango,0-906586-40-2
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,695,2771,11/8/2020,Juan Chavez,Peten,Santa Elena,0-334-81834-6
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,492,1474,7/20/2020,Hugo Garcia,Chimaltenango,Patzun,1-948088-92-4
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,765,3951,10/28/2020,Maria Hernandez,Suchitepequez,Mazatenango,0-8051-6505-3
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,407,4448,10/15/2020,Maria Guzman,Chiquimula,Esquipulas,0-315-33275-1
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,801,4381,7/14/2020,Gabriela Velasquez,Chiquimula,San Jose La Arada,0-89238-281-3
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,655,5024,2/7/2020,Alejandro Garcia,Guatemala,Villa Nueva,1-923180-13-4
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,278,7318,11/3/2020,Raul Ortiz,Chimaltenango,Chimaltenango,0-913600-57-1
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,965,2819,5/11/2020,Luz Acosta,Chiquimula,Camotan,0-240-08995-2
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,196,831,8/20/2020,Javier Ramirez,Guatemala,Guatemala City,0-7626-5893-2
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,269,3559,5/22/2020,Manuel Morales,Zacapa,Gualan,1-282-17836-9
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,177,5329,5/9/2020,Rafael Vega,Guatemala,Mixco,0-88475-581-9
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,904,4434,6/25/2020,Jose Pacheco,Chiquimula,Camotan,0-573-95896-3
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,793,5977,12/5/2020,Pablo Guzman,Alta Verapaz,Santa Cruz Verapaz,1-304-02105-X
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,769,7113,11/19/2020,Patricia Gonzalez,Guatemala,Mixco,1-141-64343-X
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,669,1531,11/25/2020,Julio Molina,Escuintla,Tiquisate,1-86044-480-6
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,168,4767,5/13/2020,Ernesto Navarro,Jalapa,Jalapa,0-8147-1684-9
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,839,7212,5/2/2020,Yolanda Ramos,Izabal,El Estor,0-9895568-9-1
Salsa de Soya Baja en Sodio LiteSoy,PackFoods Co.,Productos Empacados,636,1149,7/5/2020,Felipe Acosta,Guatemala,San Miguel Petapa,1-06-176089-8
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,205,2475,6/21/2020,Enrique Chavez,El Progreso,San Antonio La Paz,0-436-20110-0
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,218,7472,9/7/2020,Luz Castro,Santa Rosa,Santa Maria Ixhuatan,0-595-04659-2
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,110,1489,1/25/2020,Ismael Ponce,Solola,San Lucas Toliman,1-934258-31-8
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,843,6253,11/22/2020,Luz Fernandez,Solola,San Lucas Toliman,0-88282-733-2
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,226,4105,3/6/2020,Alejandra Velasquez,El Progreso,Sanarate,1-02-063183-X
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,468,3664,6/15/2020,Carmen Diaz,Santa Rosa,San Juan Tecuaco,0-901307-85-8
Queso Cheddar Artesanal DairyGold,CreamyFoods,Lacteos,146,5376,8/1/2020,Teresa Acosta,Totonicapan,Momostenango,0-15-514178-3
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,841,1020,1/11/2020,Juana Perez,Huehuetenango,San Juan Atitan,1-5165-6621-1
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,764,2210,2/6/2020,Gloria Medina,Chimaltenango,Patzun,0-579-71153-6
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,975,867,4/24/2020,Ignacio Soto,El Progreso,San Agustin Acasaguastlan,0-665-72409-8
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,244,6431,2/27/2020,Pedro Paredes,El Progreso,San Antonio La Paz,1-163-58272-7
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,608,1711,6/28/2020,Esperanza Salazar,Peten,Flores,0-13-302625-6
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,959,608,4/1/2020,Carlos Garcia,Solola,Panajachel,1-222-55043-1
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,884,6609,12/13/2020,Daniel Velasquez,Santa Rosa,Cuilapa,0-282-30143-7
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,727,3456,3/13/2020,Emilio Vazquez,Quetzaltenango,Quetzaltenango,1-79712-301-7
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,151,4277,4/29/2020,Rafael Cabrera,Peten,Sayaxche,0-87302-629-2
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,555,931,5/25/2020,Julio Molina,Jutiapa,El Progreso,0-85962-684-9
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,761,4634,6/16/2020,Felipe Morales,San Marcos,Concepcion Tutuapa,0-16-119088-X
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,936,732,5/24/2020,Juan Sanchez,Izabal,Morales,0-05-404021-3
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,880,7428,6/6/2020,Teresa Acosta,Quiche,Santa Cruz del Quiche,1-85031-463-2
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,389,7168,3/19/2020,Monica Espinoza,El Progreso,San Agustin Acasaguastlan,1-85369-353-7
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,586,7178,5/24/2020,Cristian Ponce,Quetzaltenango,San Carlos Sija,0-689-24474-6
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,702,5917,4/5/2020,angela Martinez,Jutiapa,Santa Catarina Mita,0-06-594353-8
Leche Deslactosada VitaMilk,LactiProducers,Lacteos,410,3895,12/21/2020,Mariana Ortiz,Santa Rosa,Barberena,0-10-672884-9
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,774,2410,7/19/2020,Vicente Sanchez,Quiche,Nebaj,1-01-080376-X
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,947,5506,5/11/2020,Martin Hernandez,Huehuetenango,San Pedro Necta,0-8375-1853-9
Aguacates Hass Select GreenAvos,AgriPrime Foods,Productos Frescos,171,1760,4/5/2020,Laura Castro,Escuintla,Santa Lucia Cotzumalguapa,1-312-15924-3
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,532,4236,7/18/2020,Elena Garcia,Alta Verapaz,Santa Cruz Verapaz,0-201-03429-8
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,964,7558,4/19/2020,Aurora Castillo,Zacapa,Rio Hondo,1-70509-020-6
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,368,4957,2/11/2020,Diana Martinez,Solola,San Juan La Laguna,0-03-504811-5
Manzanas Fuji Premium FreshHarves,AgriPrime Foods,Productos Frescos,944,4906,9/29/2020,Jorge Silva,Zacapa,La Union,0-417-70869-6
Barra de Granola con Miel HoneyGrain,NutriSnack Co.,Snacks,554,5581,5/6/2020,Ines Guerrero,Huehuetenango,San Pedro Necta,1-4512-4662-5
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,453,4526,1/22/2020,Samuel Vazquez,Huehuetenango,San Juan Atitan,1-66191-912-X
Jugo de Naranja Natural CitrusFlow,FreshBeverage Co.,Bebidas,446,1340,7/21/2020,Ana Cruz,Retalhuleu,Champerico,1-68742-657-0
Pasta de Tomate Gourmet SauceUp,PackFoods Co.,Productos Empacados,667,1709,3/19/2020,Mirta Vega,Sacatepequez,Antigua Guatemala,0-7358-6426-8
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,557,2823,5/13/2020,Estela Rodriguez,Huehuetenango,Colotenango,1-85265-903-3
Yogur Natural sin Azucar NutriPlain,CreamyFoods,Lacteos,982,4591,10/14/2020,Diana Vargas,San Marcos,Tejutla,1-57129-791-X
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,746,4772,8/7/2020,Veronica Salazar,Chiquimula,Chiquimula,1-384-03431-5
Mix de Frutos Secos HealthyBites,NutriSnack Co.,Snacks,752,4889,10/15/2020,Samuel Perez,Solola,Panajachel,0-7552-4950-X
Esparragos Verdes Organicos GreenSprout,FreshHarvest,Productos Frescos,978,1587,6/30/2020,Francisco Mendoza,Retalhuleu,San Felipe,0-473-47237-6
Te Verde Organico SerenityLeaf,GreenBrew Solutions,Bebidas,931,3026,10/26/2020,Mario Soto,Baja Verapaz,Cubulco,1-4356-4410-7
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,732,7261,4/18/2020,Roberto Vazquez,Izabal,El Estor,1-83163-769-3
Aceite de Oliva Extra Virgen OlivePure,GourmetChoice,Productos Empacados,201,6315,3/23/2020,Enrique Silva,Suchitepequez,Mazatenango,1-906001-32-4
Chips de Platano Salados TropiCrunch,SnackLovers,Snacks,894,6852,4/30/2020,Alejandra Sanchez,San Marcos,San Marcos,1-63732-590-8
